"Violations","name","Best_Seed","ARI","AMI","NMI","Mean_Silhouette","Clusters","number_features","number_instances","Cardinality_BAT","Cardinality_REAL","Execution_Time"
0,"balance-scale",9882,0.184591193860704,0.153120761801737,0.156154112974361,0.122550422048905,3,5,625,"288, 49, 288","288, 49, 288",6.76458597183228
0,"mfeat-morphological",9401,0.28538819374651,0.429792760473732,0.434860282275708,0.141265718142525,10,7,2000,"200, 200, 200, 200, 200, 200, 200, 200, 200, 200","200, 200, 200, 200, 200, 200, 200, 200, 200, 200",50.3284549713135
0,"diabetes",8349,0.0365396222317101,0.0128266229803187,0.0138227845452155,0.313856104021464,2,9,768,"500, 268","500, 268",9.20108890533447
0,"ecoli",8069,0.197439106847976,0.354494425205588,0.381177562414223,-0.10752971312064,8,8,336,"143, 77, 52, 35, 20, 5, 2, 2","143, 77, 52, 35, 20, 5, 2, 2",4.39905714988708
0,"heart-statlog",8349,0.0204963144963146,0.0126476212542942,0.0153246351539221,0.294096443542995,2,14,270,"150, 120","150, 120",2.08330798149109
0,"iris",8349,0.591314285714286,0.635677353259832,0.640180420600528,0.44046392901598,3,5,150,"50, 50, 50","50, 50, 50",0.986328840255737
0,"yeast",8349,0.151507381321221,0.23039771530817,0.242523187070757,-0.0820885565436042,10,9,1484,"463, 429, 244, 163, 51, 44, 35, 30, 20, 5","463, 429, 244, 163, 51, 44, 35, 30, 20, 5",36.6784000396729
0,"wine",8349,0.374408048729058,0.40108406513103,0.40738212732481,0.536516439023687,3,14,178,"59, 71, 48","59, 71, 48",1.70216202735901
0,"prnn_synth",8349,0.00682735483870963,0.0049276928996453,0.00781622056126765,0.484485405432489,2,3,250,"125, 125","125, 125",1.20257091522217
0,"rmftsa_ladata",2791,0.311052988472343,0.232337073494529,0.233443212274563,0.301125597203627,2,11,508,"286, 222","286, 222",4.78924322128296
0,"pwLinear",1115,0.432754187619397,0.339599497964922,0.342001020089657,0.133343246620406,2,11,200,"103, 97","103, 97",1.30711603164673
0,"fri_c2_100_5",8349,0.262352941176471,0.184659459978366,0.190820602910323,0.267549348344691,2,6,100,"40, 60","40, 60",0.801594972610474
0,"analcatdata_supreme",2791,0.751891051786418,0.600689807701043,0.600779362166989,0.409792101394855,2,8,4052,"971, 3081","971, 3081",219.613279104233
0,"fri_c1_250_5",2973,0.176479539858805,0.134057978673341,0.136575944100815,0.244925121974619,2,6,250,"119, 131","119, 131",1.4121630191803
0,"machine_cpu",8349,0.374063811429797,0.228916503867369,0.23213445937327,0.42908615297806,2,7,209,"153, 56","153, 56",2.07318687438965
0,"visualizing_environmental",8349,0.0341863206205578,0.0243025730745328,0.0307402735981571,0.326087185413356,2,4,111,"58, 53","58, 53",0.710716009140015
0,"space_ga",3069,0.00995999602968178,0.00718840700237533,0.0074190266311184,0.358455184787312,2,7,3107,"1541, 1566","1541, 1566",83.572282075882
0,"fri_c3_1000_10",9882,0.0342046128012644,0.0219528100801007,0.0226668626326078,0.158420624036103,2,11,1000,"440, 560","440, 560",13.1175801753998
0,"fri_c1_1000_5",7943,0.125826028809451,0.0994253867337928,0.100079505487565,0.221988555587024,2,6,1000,"457, 543","457, 543",9.34244894981384
0,"fri_c3_250_5",2973,0.10386145898483,0.0714195541510545,0.0741481394389276,0.375110004879695,2,6,250,"109, 141","109, 141",1.26815795898438
0,"fri_c3_500_5",8349,0.0144123352185171,0.00999844653257565,0.0114338401455795,0.258258000501879,2,6,500,"237, 263","237, 263",3.2580771446228
0,"pm10",6223,-0.00200706788383306,-0.00144934744753087,4.73071877310121e-08,0.60937811034588,2,8,500,"254, 246","254, 246",3.430743932724
0,"fri_c0_100_5",2973,0.151503931732431,0.110064899494225,0.116614529306129,0.144978996436727,2,6,100,"46, 54","46, 54",0.622968912124634
0,"fri_c2_100_10",4539,0.0690909090909091,0.0566669727386421,0.06362888488781,0.147555422780569,2,11,100,"45, 55","45, 55",0.675359010696411
0,"strikes",572,0.000859173631180227,0.000624002307411915,0.00178026317084618,0.044919320330136,2,7,625,"315, 310","315, 310",4.9818902015686
0,"quake",9882,0.00111249675466232,0.000300492253790997,0.000634760161702849,0.323497576295194,2,4,2178,"1209, 969","1209, 969",41.7355310916901
0,"disclosure_x_bias",4539,3.19162737256402e-05,0.000129371460086231,0.00122277871967003,0.450450516123039,2,4,662,"345, 317","345, 317",7.63247609138489
0,"bodyfat",8349,0.0873205012961378,0.0641164968033611,0.0668120093124865,0.262987759668776,2,15,252,"124, 128","124, 128",1.94120407104492
0,"rabe_266",967,0.749010923099992,0.643959724499276,0.646131228068407,0.48751361854675,2,3,120,"57, 63","57, 63",0.55842399597168
0,"fri_c1_100_10",8349,0.185420502830115,0.142791317345813,0.149086537625643,0.111379873366958,2,11,100,"47, 53","47, 53",0.670060873031616
0,"fri_c2_500_5",967,0.17712805208102,0.120115819358651,0.121424479779556,0.262698700737398,2,6,500,"202, 298","202, 298",4.37442803382874
0,"fri_c3_250_10",2791,0.0145484949832775,0.00946338114059699,0.012352392550834,0.159460946375353,2,11,250,"115, 135","115, 135",1.5614960193634
0,"disclosure_x_tampered",9882,-0.00106681284702836,-0.000774761929441745,0.000318323437088131,0.374911399789057,2,4,662,"327, 335","327, 335",4.04209685325623
0,"fri_c0_1000_5",2746,-0.000217147575798389,-0.000155438729794589,0.000567122277370061,0.144849864586621,2,6,1000,"503, 497","503, 497",8.93452405929565
0,"chscase_funds",4539,0.0594561347025271,0.0451975112895147,0.0489608320245893,0.237986952422855,2,3,185,"87, 98","87, 98",0.894017934799194
