"name","ARI","AMI","NMI","Mean_Silhouette","Clusters","number_features","number_instances","cardinality_pred","cardinality_real","Violations","Execution_Time"
"LED-display-domain-7digit",0.0805752638509463,0.153485922679826,0.185017364505436,-0.16293642485571,10,8,500,"45, 37, 51, 57, 52, 52, 47, 57, 53, 49","45, 37, 51, 57, 52, 52, 47, 57, 53, 49",0,0.00104689598083496
"wine-quality-white",0.00136462610801413,0.0111775249128885,0.0137759130447065,-0.368168614816091,7,12,4898,"20, 163, 1457, 2198, 880, 175, 5","20, 163, 1457, 2198, 880, 175, 5",0,0.00745415687561035
"thyroid-new",0.71848919689866,0.535828804176349,0.541328047640395,0.370188975983162,3,6,215,"150, 35, 30","150, 35, 30",0,0.000653982162475586
"wine-quality-red",0.0177243725625469,0.0222382099289263,0.0284814080638808,-0.271878795356294,6,12,1599,"10, 53, 681, 638, 199, 18","10, 53, 681, 638, 199, 18",0,0.00253891944885254
"Titanic",-0.0160724861343924,0.0126722617585755,0.0130291105487496,0.332305808821668,2,4,2201,"1490, 711","1490, 711",0,0.00315618515014648
"wilt",-0.0431056244419608,0.00814083173094681,0.00863520974497369,0.769933028492552,2,6,4839,"4578, 261","4578, 261",0,0.00677108764648438
"Touch2",0.0265506350872818,0.0469093655155721,0.0932616735699539,-0.152112242496879,8,11,265,"30, 27, 28, 44, 28, 47, 32, 29","30, 27, 28, 44, 28, 47, 32, 29",0,0.000778913497924805
"wilt_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True",-0.04171756621353,0.00662795580055235,0.00785275097942933,0.766349747359889,2,6,2000,"1892, 108","1892, 108",0,0.00288987159729004
"wine-quality-white_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True",0.00426733260360078,0.0105261121580107,0.0165454337398216,-0.373387175362023,7,12,2000,"8, 67, 595, 898, 359, 71, 2","8, 67, 595, 898, 359, 71, 2",0,0.00316405296325684
"jungle_chess_2pcs_raw_endgame_complete_seed_0_nrows_2000_nclasses_10_ncols_100_stratify_True",0.0218631339173505,0.0240660642389959,0.0251135265828782,0.111519972698105,3,7,2000,"1029, 777, 194","1029, 777, 194",0,0.0029909610748291
"algerian_forest_fires",0.0434924116024126,0.0392258928781409,0.0421307016619965,0.19456942849153,2,14,243,"137, 106","137, 106",0,0.000549077987670898
"total_score",0.0503123399465407,0.00362701289017292,0.00956943610454639,-0.554416744987128,4,8,719,"174, 44, 84, 417","174, 44, 84, 417",0,0.00125980377197266
