"cluster","sil_width"
3,-0.470573982186847
3,-0.841185396433578
3,-0.678638826168959
3,-0.584451353952435
3,-0.850960883626195
3,-0.847219823592843
3,-0.64999333981155
3,-0.834148239990853
3,-0.845708281905379
3,-0.851044913927958
3,-0.845398771098261
3,-0.663240251567116
3,-0.851904612024065
2,0.617859208445806
3,-0.849001677709657
3,-0.845150726580756
3,-0.851565134890953
3,-0.709836159017913
3,-0.835375169973052
3,-0.845852212991154
3,-0.848018688612535
3,-0.846941671154309
3,-0.821292470146875
3,-0.851403382958697
3,-0.84900406033071
3,-0.839308350848407
3,-0.845053620696099
3,-0.848569218079671
3,-0.833282512715711
1,-0.0670093267911561
3,-0.847835241621001
1,-0.0723665469703053
3,-0.830895042151338
3,-0.848000138718971
3,-0.849161415213235
3,-0.835644436825605
3,-0.601267926998839
3,-0.658044009129702
3,-0.852126445704272
3,-0.845081597760114
3,-0.446825269378181
3,-0.370439167214847
3,-0.748126898092206
3,-0.462675235894087
3,-0.849425653299755
3,-0.849008569478972
3,-0.8500952738286
1,-0.0349166710458172
3,-0.844568936866664
2,0.459915574163938
3,-0.842133833255016
3,-0.83851399265531
3,-0.848253467449184
3,-0.851185606625618
3,-0.739228363181205
3,-0.844738648952628
2,0.231862881733769
3,-0.851756807447727
3,-0.848002188872964
3,-0.85193404698049
3,-0.848436717683825
3,-0.541652436247648
3,-0.8505406505027
2,0.265269105527656
3,-0.851907410582039
3,-0.824640053026544
3,-0.834378878754559
3,-0.85152660810711
3,-0.848669003612956
3,-0.845791169199272
3,-0.846864279821564
3,-0.852159513889877
3,-0.852340466035006
3,-0.815324681946381
3,-0.851815045911544
3,-0.843488245657124
3,-0.831513602770472
3,-0.133274829775167
3,-0.843739276542621
3,-0.839950868318751
3,-0.833917717579566
3,-0.84985118862547
2,0.532943383895549
2,0.409490576270235
3,-0.586301714687421
3,-0.841227648508933
3,-0.840127237476549
1,-0.682698493316288
1,-0.870452536519723
1,-0.838006530088169
2,0.405854945368169
1,-0.870052211941107
1,-0.870441001751675
1,-0.870428111398631
1,-0.870503286251352
1,-0.869092561241869
3,-0.193788353806999
1,-0.794770336482713
1,-0.768878524403309
1,-0.833385726825215
1,-0.870425681466677
1,-0.864833983523908
1,-0.855642368390895
1,-0.82389130926118
1,-0.838814359914248
1,-0.859433361339665
1,-0.855539697782871
1,-0.856287579449179
1,-0.864248701886669
1,-0.870578635427626
1,-0.864635992065954
1,-0.870398538763455
1,-0.538430377191205
1,-0.856001391698893
1,-0.868472198344971
1,-0.828056027910011
1,-0.866284703957929
1,-0.856268862601771
1,-0.597945823642517
1,-0.847612965728597
1,-0.865349303226377
2,0.609547654415318
1,-0.868771608490022
1,-0.819574840989502
1,-0.721094939990918
1,-0.810621128863964
1,-0.870390717636785
1,-0.865029140145714
1,-0.847787653042915
1,-0.870590113996907
1,-0.865604282797259
1,-0.861921960940176
1,-0.868128048887544
1,-0.676940755331863
2,0.563494144275933
1,-0.546072549707964
1,-0.790135127752592
1,-0.518504207868867
1,-0.870470386740608
2,0.613511303728675
1,-0.870345172935076
1,-0.85487235486872
1,-0.822756537458603
1,-0.537444809942016
1,-0.870582565659712
1,-0.862813974929985
2,0.58020489600802
1,-0.87016061948543
1,-0.734747520354911
1,-0.870318064139113
1,-0.865373689466782
1,-0.859710938170058
1,-0.558978476022112
1,-0.858516847013651
1,-0.870000938279868
2,0.566594852123432
1,-0.841255913929662
1,-0.870126066407078
1,-0.869453011150911
1,-0.852685060771079
1,-0.864170058344395
2,0.374960005632756
1,-0.868566946579825
1,-0.704885274346678
1,-0.870195434248053
1,-0.652762885354249
1,-0.85308353106512
1,-0.870517737406089
2,0.427817045989332
1,-0.829768521332759
1,-0.870507980606545
1,-0.860032821394377
1,-0.86025938681234
1,-0.856117170703095
1,-0.85307129986545
1,-0.870488772358188
1,-0.853062996970607
1,-0.870589542086076
1,-0.852306155687278
1,-0.854669786467631
1,-0.861578910218836
1,-0.869898370659648
1,-0.597807357510203
1,-0.861577803710756
1,-0.853352356211
1,-0.862895927390241
1,-0.857295873894934
1,-0.663708816008104
1,-0.857262332627707
2,0.578791015252811
1,-0.832014339820415
1,-0.696699703371931
1,-0.856361560604235
1,-0.792179132770859
2,0.0687039395846286
1,-0.85314987026449
1,-0.717802919993579
